SESSION_ID,LICENSE_PLATE,FACILITY_ID,FACILITY_NAME,DISTRICT,IN_TIME,OUT_TIME,ACTUAL_DURATION_HOURS,RATE_PER_HOUR,COST,STATUS,LICENSE_PLATE_STATE,INGESTED_AT,ROW_TIMESTAMP,OFFSET_ID
8aa1bfbc-345e-4c61-b306-117c268e0648,JGA-1544,47,JFK Long-Term Lot,Airport,2025-10-07 01:21:59.000 -0400,2025-10-07 02:18:17.993 -0400,0.9399999976,8,7.510000229,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
f4284bc7-c6a5-42ec-9e2e-3531e2c1bcb5,G32-BWR,37,Yankee Stadium Lot A,Bronx,2025-10-07 00:14:25.000 -0400,2025-10-07 03:59:40.411 -0400,3.75,25,93.86000061,completed,NJ,2026-02-07 18:17:12.676 -0500,\\N,\\N
5d760c0c-9f1b-4c34-a9cc-b99cbab865d6,HUN-2248,37,Yankee Stadium Lot A,Bronx,2025-10-07 01:09:47.000 -0400,2025-10-07 03:44:23.571 -0400,2.579999924,25,64.419998169,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
081144bc-d354-4582-9b9e-260d8ff26141,VRE-4579,47,JFK Long-Term Lot,Airport,2025-10-07 02:59:46.000 -0400,2025-10-07 03:18:59.723 -0400,0.3199999928,8,2.559999943,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
58753595-ea17-4d21-b2a1-5cfe234f6c94,GZJ-6501,47,JFK Long-Term Lot,Airport,2025-10-07 03:35:33.000 -0400,2025-10-07 04:17:45.665 -0400,0.6999999881,8,5.630000114,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
93f673b4-5861-45f5-99eb-fe12f8641184,WUD-8114,26,Long Island City Court Square,Queens,2025-10-07 02:05:09.000 -0400,2025-10-07 05:39:30.239 -0400,3.569999933,9,32.150001526,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
a612167f-42cd-4d96-b1df-19a80de90eab,XYR-6339,26,Long Island City Court Square,Queens,2025-10-07 04:11:48.000 -0400,2025-10-07 06:40:08.049 -0400,2.470000029,9,22.25,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
19bd24ef-35b0-46be-b097-c9ee7d9d293c,YUJ-6993,26,Long Island City Court Square,Queens,2025-10-07 00:02:10.000 -0400,2025-10-07 08:02:24.995 -0400,8,9,72.040000916,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
9908ac1c-63f9-45b3-a72b-adb3ab042e6b,E90-ALN,5,Midtown 5th Ave,Manhattan,2025-10-07 06:54:58.000 -0400,2025-10-07 08:27:51.771 -0400,1.549999952,38,58.830001831,completed,NJ,2026-02-07 18:17:12.676 -0500,\\N,\\N
7797cba7-5326-4267-b104-655f87a07ed4,YPG-6820,13,Harlem 125th St,Manhattan,2025-10-07 06:26:43.000 -0400,2025-10-07 08:06:55.550 -0400,1.669999957,15,25.049999237,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
08501d9d-91d2-4b08-a3c5-cd75bb901350,DKK-7477,18,Williamsburg Bedford Ave,Brooklyn,2025-10-07 06:10:16.000 -0400,2025-10-07 08:27:55.102 -0400,2.289999962,15,34.409999847,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
01a09e6e-3378-4ec4-8c2b-0423aa228263,N44-KGL,32,Queens Center Mall,Queens,2025-10-07 06:29:41.000 -0400,2025-10-07 08:53:07.173 -0400,2.390000105,5,11.949999809,completed,NJ,2026-02-07 18:17:12.676 -0500,\\N,\\N
c47d8bd8-b211-4024-bb8b-e765c37496b8,XT-75668,35,Queens Family Court,Queens,2025-10-07 06:19:43.000 -0400,2025-10-07 08:31:10.837 -0400,2.190000057,5,10.960000038,completed,CT,2026-02-07 18:17:12.676 -0500,\\N,\\N
68a3dce9-b532-4360-bcbe-99f14ab92fe0,KBU-3858,42,Staten Island Mall,Staten_Island,2025-10-07 06:31:25.000 -0400,2025-10-07 08:33:40.520 -0400,2.039999962,0,0,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
f5f82103-3532-4d24-a2cf-7ffb2a4028e6,GBM-7851,2,Penn Station 33rd St,Manhattan,2025-10-07 07:28:51.000 -0400,2025-10-07 08:11:57.591 -0400,0.7200000286,28,20.120000839,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
835df355-f506-4320-af8d-15306815914a,HNX-6782,4,Financial District Wall St,Manhattan,2025-10-07 07:26:34.000 -0400,2025-10-07 08:03:40.969 -0400,0.6200000048,40,24.739999771,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
f7bbbbb3-4e7e-47cf-91e8-b1b7c70a1c4a,AHV-4720,13,Harlem 125th St,Manhattan,2025-10-07 07:05:40.000 -0400,2025-10-07 08:53:53.831 -0400,1.799999952,15,27.059999466,completed,GA,2026-02-07 18:17:12.676 -0500,\\N,\\N
bfe00014-47ab-4ee7-9e04-c1b7f1c2cf28,EDH-6598,22,Coney Island Boardwalk,Brooklyn,2025-10-07 07:39:43.000 -0400,2025-10-07 08:39:02.207 -0400,0.9900000095,8,7.909999847,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
0a14bb0a-ea7f-4bb9-84ef-35512126d342,GKN-1529,26,Long Island City Court Square,Queens,2025-10-07 07:30:41.000 -0400,2025-10-07 08:45:27.078 -0400,1.25,9,11.220000267,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
cddde1ed-109b-4f69-81d3-d45f24a3ecb0,NBG-2606,35,Queens Family Court,Queens,2025-10-07 07:04:29.000 -0400,2025-10-07 08:50:27.694 -0400,1.769999981,5,8.829999924,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
9d567208-f48f-4531-8cbd-31d5c59c769d,CS-60462,36,Jerome-190th St Garage,Bronx,2025-10-07 07:46:06.000 -0400,2025-10-07 08:52:30.570 -0400,1.110000014,7,7.75,completed,CT,2026-02-07 18:17:12.676 -0500,\\N,\\N
392a8f84-d95c-483e-b95e-334a8734eff4,TNJ-3779,10,Tribeca Greenwich St,Manhattan,2025-10-07 06:30:14.000 -0400,2025-10-07 09:25:21.334 -0400,2.920000076,32,93.400001526,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
e10189d4-17ea-42de-87c9-e932efe232dc,1NA-R30,13,Harlem 125th St,Manhattan,2025-10-07 06:39:14.000 -0400,2025-10-07 09:18:13.713 -0400,2.650000095,15,39.75,completed,MA,2026-02-07 18:17:12.676 -0500,\\N,\\N
28b9571f-ab4a-407f-8cb1-33efd414b635,BHB-5288,16,Downtown Brooklyn Borough Hall,Brooklyn,2025-10-07 06:14:41.000 -0400,2025-10-07 09:51:41.700 -0400,3.619999886,9,32.549999237,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
53bfa286-21e0-4c19-a2bf-691b7c3cbe49,V66-SRE,19,Bay Ridge 5th Ave,Brooklyn,2025-10-07 06:22:17.000 -0400,2025-10-07 09:53:58.792 -0400,3.529999971,4,14.109999657,completed,NJ,2026-02-07 18:17:12.676 -0500,\\N,\\N
63e5d289-2455-4123-b9b0-36623ec7cc46,ABS-6504,22,Coney Island Boardwalk,Brooklyn,2025-10-07 06:34:14.000 -0400,2025-10-07 09:39:16.476 -0400,3.079999924,8,24.670000076,completed,NY,2026-02-07 18:17:12.676 -0500,\\N,\\N
63466710-c493-4bdc-9204-c6db80109c42,AMC-5180,28,Jamaica Station,Queens,2025-10-07 06:11:48.000 -0400,2025-10-07 09:27:58.197 -0400,3.269999981,6,19.620000839,completed,PA,2026-02-07 18:17:12.676 -0500,\\N,\\N
